prompt_technik,model_name,total_evaluated,completion_evaluation,compilable_evaluation,code_bleu_average_score.bleu_score,code_bleu_average_score.ngram_match_score,code_bleu_average_score.weighted_ngram_match_score,code_bleu_average_score.syntax_match_score,code_bleu_average_score.dataflow_match_score,codeBert_average_score.codeBert_average_precision,codeBert_average_score.codeBert_average_recall,codeBert_average_score.codeBert_average_f1
CoT,gpt35,50,0.62,0.96,0.3910969543753493,0.23647618218791,0.2980524702655662,0.5803462716211459,0.4495128934267748,0.8219289708137513,0.8208032810688018,0.8205655157566071
CoT,llama-guard-3-8b,50,0.1,0.62,0.3889802974941272,0.0040521010075612,0.2368690889689479,0.315,0.0,0.7134123277664185,0.4660496109724045,0.5633004820346832
CoT,llama3-groq-70b-8192-tool-use-preview,50,0.04,0.46,0.3238560291205805,0.1310295267099084,0.1854470908045425,0.3717607037038866,0.2871867952639844,0.7709223246574402,0.7354160809516906,0.7507658314704895
CoT,gemma2-9b-it,50,0.12,0.82,0.40508696709564,0.2549975746688062,0.326188024548848,0.5583656421222549,0.4807966270426513,0.83527095079422,0.8362814354896545,0.8346280813217163
CoT,gemma-7b-it,50,0.14,0.74,0.381512996729054,0.2169685069939867,0.3176606818098534,0.4729470634727605,0.4184757346396154,0.8274434304237366,0.7643113106489181,0.7929562103748321
CoT,llama3-70b-8192,50,0.44,0.9,0.4138141460590083,0.2649102828123423,0.3402715054267821,0.574160171434047,0.4759146245628621,0.8326133012771606,0.7818541491031646,0.8059125375747681
CoT,llama3-8b-8192,50,0.26,0.8,0.4041069970783848,0.2476733775102441,0.3387220620889474,0.5505918105901965,0.4794407381241514,0.8334388279914856,0.7748924660682678,0.8026908957958221
CoT,llama-3.1-70b-versatile,50,0.22,0.5,0.3897855507258755,0.2364778501608518,0.3103376761532441,0.5484839736964168,0.4638427028929894,0.821063380241394,0.8054519808292389,0.8115683960914611
CoT,llama3-groq-8b-8192-tool-use-preview,50,0.06,0.5,0.3891534325837147,0.2161611820744717,0.3238545415975242,0.5238487237087766,0.4727492829540866,0.8247695422172546,0.7573998183012008,0.788523086309433
CoT,mixtral-8x7b-32768,50,0.28,0.72,0.3878847359761485,0.2672606821667574,0.3137743777028781,0.5447534824565683,0.42575040157839,0.8388692033290863,0.8502982234954835,0.8436231327056884
ToT,llama-guard-3-8b,50,0.08,0.62,0.3942710790233106,0.0040521010075612,0.2463655484190145,0.3266666666666666,0.0,0.7148651802539825,0.4638916480541229,0.5622440135478973
ToT,llama3-groq-8b-8192-tool-use-preview,50,0.08,0.36,0.3547561953465651,0.1587374323886362,0.2402404732547301,0.4560784906795534,0.4839683850633408,0.7826733565330506,0.7324123644828796,0.7559593224525452
ToT,llama3-8b-8192,50,0.1,0.38,0.3816218431519769,0.2176740423750104,0.3137940785565404,0.5390560563960701,0.4559631952802865,0.8294959390163421,0.7691720533370972,0.7976411342620849
ToT,gemma2-9b-it,50,0.02,0.46,0.3778868484019342,0.2090081009403756,0.2691177678186991,0.5432039330365309,0.490217591812131,0.8043153667449952,0.7953754997253418,0.79901393532753
ToT,llama3-groq-70b-8192-tool-use-preview,50,0.14,0.6,0.3438409996644462,0.1965597212037883,0.2532475828558996,0.5046720140902827,0.4008846805078143,0.8113428926467896,0.7886899697780609,0.7991389870643616
ToT,llama3-70b-8192,50,0.08,0.48,0.4181035692186547,0.2604063350148445,0.3446694987790094,0.5578587659587565,0.5094796771220081,0.8356449806690216,0.784056327342987,0.8085364460945129
ToT,mixtral-8x7b-32768,50,0.14,0.4,0.3510827328439849,0.1943105253652714,0.2573902360669699,0.4957494975909947,0.4368806723527037,0.8070388007164001,0.7931845736503601,0.7990796315670013
ToT,llama-3.1-70b-versatile,50,0.06,0.3,0.3985352249683117,0.2692709798786925,0.3271147100919605,0.5561658225297338,0.4415893873728599,0.8345960688591003,0.8276289129257202,0.8301499724388123
ToT,gemma-7b-it,50,0.1,0.72,0.3629149134809821,0.2113998963204316,0.3072036668849086,0.5026220200493215,0.4304340706692665,0.8213438475131989,0.7832131564617157,0.8013881731033325
ToT,gpt35,50,0.36,0.68,0.3313191285972346,0.2043705591142883,0.2589707964374974,0.481023422574169,0.3809117362629837,0.7947013998031616,0.7817464601993561,0.7875713956356049
Zero_shot,llama3-groq-8b-8192-tool-use-preview,50,0.08,0.66,0.3862468864991332,0.2075646703992554,0.3085313614504216,0.5221401704759765,0.5067513436708793,0.8218525314331054,0.7606448483467102,0.7895071983337403
Zero_shot,llama3-8b-8192,50,0.14,0.4,0.3983308315518463,0.2493845231009984,0.3256713008181385,0.5480059547105872,0.4702615475776611,0.8330435800552368,0.7800901758670807,0.8053966927528381
Zero_shot,gemma-7b-it,50,0.1,0.54,0.4033382095957947,0.2655970896155167,0.3557770370220399,0.5207545311331337,0.4712241806124884,0.8521346008777618,0.8197966182231903,0.8352004051208496
Zero_shot,llama3-groq-70b-8192-tool-use-preview,50,0.12,0.48,0.3420183368899079,0.1662527365670478,0.2315384339427052,0.4732297986853247,0.3570523783645539,0.804310804605484,0.7730980479717254,0.7871908235549927
Zero_shot,llama-3.1-70b-versatile,50,0.08,0.56,0.4024902800808793,0.2676103971953843,0.3311138114165403,0.5579361755301369,0.4533007361814556,0.8362521076202393,0.8222660577297211,0.828159646987915
Zero_shot,llama-guard-3-8b,50,0.08,0.78,0.3835799572822998,0.0040521010075612,0.2287292665831765,0.3015384615384615,0.02,0.712771406173706,0.469291370511055,0.5653769588470459
Zero_shot,llama3-70b-8192,50,0.24,0.6,0.4182921690556328,0.2752423198932442,0.3576133139356388,0.5592060491830152,0.4811069932106329,0.8398835587501526,0.7834269177913665,0.8102292621135712
Zero_shot,mixtral-8x7b-32768,50,0.14,0.64,0.3902764431150482,0.2539888292104684,0.3068922569977123,0.5561158006261522,0.4441088856258601,0.8422551918029785,0.8472525179386139,0.8437952542304993
Zero_shot,gpt35,50,0.58,0.96,0.4012703788051137,0.251416968461031,0.3108248169822203,0.5893773608437397,0.4534623689334637,0.8256327688694001,0.8099679446220398,0.8168431699275971
Zero_shot,gemma2-9b-it,50,0.36,0.9,0.4239899930774941,0.2788542486859406,0.3691196483410339,0.5665969601024387,0.4813891151805634,0.8530058646202088,0.83566725730896,0.8434679853916168
Few_shot,llama-guard-3-8b,50,0.02,0.6,0.3941615203406665,0.0040521010075612,0.2477221854833097,0.3248717948717949,0.02,0.7144500708580017,0.46482894718647,0.5625536203384399
Few_shot,llama3-70b-8192,50,0.18,0.48,0.4068466551565662,0.2712809914682632,0.3447458807192387,0.5420222418411486,0.4693375065976142,0.8354519367218017,0.782436455488205,0.8077642714977264
Few_shot,mixtral-8x7b-32768,50,0.22,0.52,0.3758109411891053,0.2233205096187996,0.308189271395278,0.5235531485744279,0.4081808351679158,0.8238744282722473,0.8192141795158386,0.819368017911911
Few_shot,gpt35,50,0.52,0.94,0.3794828655694179,0.2080786629800934,0.2612782005286724,0.5730319363481324,0.4755426624207736,0.8061071276664734,0.7942000722885132,0.7995187532901764
Few_shot,gemma-7b-it,50,0.06,0.64,0.3751063820247984,0.229077447371841,0.3155097822660899,0.5164505566874339,0.4393877417738286,0.8321486914157867,0.797156742811203,0.8137819159030915
Few_shot,llama-3.1-70b-versatile,50,0.52,0.84,0.4100621055835833,0.2618924298280847,0.3271510560719771,0.5849061501204074,0.4662987863138637,0.8356393229961395,0.8315365922451019,0.8320278596878051
Few_shot,llama3-8b-8192,50,0.26,0.86,0.3906645691949745,0.2308734908076127,0.3266860169463518,0.5354249046980517,0.4696738643278816,0.8327936792373657,0.7732646846771241,0.8015489721298218
Few_shot,llama3-groq-70b-8192-tool-use-preview,50,0.22,0.48,0.3201686520298222,0.1733697896200153,0.220996700953756,0.4190774565450381,0.3472306610004796,0.7909933876991272,0.7669566392898559,0.7780343067646026
Few_shot,llama3-groq-8b-8192-tool-use-preview,50,0.14,0.62,0.3752447834530026,0.1982649172637865,0.2977318130220861,0.5106263688060079,0.4743560347201301,0.8119729971885681,0.7531813752651214,0.7805952191352844
