prompt_technik,model_name,total_evaluated,completion_evaluation,compilable_evaluation,code_bleu_average_score.bleu_score,code_bleu_average_score.ngram_match_score,code_bleu_average_score.weighted_ngram_match_score,code_bleu_average_score.syntax_match_score,code_bleu_average_score.dataflow_match_score,codeBert_average_score.codeBert_average_precision,codeBert_average_score.codeBert_average_recall,codeBert_average_score.codeBert_average_f1
CoT,gpt35,50,0.62,0.96,0.3910969543753493,0.23647618218791008,0.2980524702655662,0.5803462716211459,0.44951289342677486,0.8219289708137513,0.8208032810688018,0.8205655157566071
CoT,llama-guard-3-8b,50,0.1,0.62,0.38898029749412727,0.0040521010075612145,0.23686908896894793,0.315,0.0,0.7134123277664185,0.4660496109724045,0.5633004820346832
CoT,llama3-groq-70b-8192-tool-use-preview,50,0.04,0.46,0.3238560291205805,0.13102952670990844,0.1854470908045425,0.3717607037038866,0.28718679526398444,0.7709223246574402,0.7354160809516906,0.7507658314704895
CoT,gemma2-9b-it,50,0.12,0.82,0.40508696709564007,0.2549975746688062,0.326188024548848,0.5583656421222549,0.4807966270426513,0.83527095079422,0.8362814354896545,0.8346280813217163
CoT,gemma-7b-it,50,0.14,0.74,0.381512996729054,0.21696850699398673,0.3176606818098534,0.4729470634727605,0.4184757346396154,0.8274434304237366,0.7643113106489181,0.7929562103748321
CoT,llama3-70b-8192,50,0.44,0.9,0.41381414605900835,0.26491028281234236,0.34027150542678214,0.574160171434047,0.4759146245628621,0.8326133012771606,0.7818541491031646,0.8059125375747681
CoT,llama3-8b-8192,50,0.26,0.8,0.4041069970783848,0.2476733775102441,0.3387220620889474,0.5505918105901965,0.4794407381241514,0.8334388279914856,0.7748924660682678,0.8026908957958221
CoT,llama-3.1-70b-versatile,50,0.22,0.5,0.3897855507258755,0.23647785016085185,0.3103376761532441,0.5484839736964168,0.46384270289298946,0.821063380241394,0.8054519808292389,0.8115683960914611
CoT,llama3-groq-8b-8192-tool-use-preview,50,0.06,0.5,0.3891534325837147,0.2161611820744717,0.3238545415975242,0.5238487237087766,0.4727492829540866,0.8247695422172546,0.7573998183012008,0.788523086309433
CoT,mixtral-8x7b-32768,50,0.28,0.72,0.3878847359761485,0.2672606821667574,0.31377437770287814,0.5447534824565683,0.42575040157839,0.8388692033290863,0.8502982234954835,0.8436231327056884
