prompt_technik,task_id,model_name,model_type,n_runs,successful_evaluations,pass_at_k,completion_score,compilable_score
Few_shot,/java/g1801_1900/s1870_minimum_speed_to_arrive_on_time,mixtral-8x7b-32768,llama,50,0,0.0,0.0,0.88
Few_shot,/java/g1801_1900/s1870_minimum_speed_to_arrive_on_time,gpt35,openai,50,28,0.56,0.56,0.96
Few_shot,/java/g1801_1900/s1870_minimum_speed_to_arrive_on_time,llama3-70b-8192,llama,50,0,0.0,0.0,0.94
Few_shot,/java/g1801_1900/s1870_minimum_speed_to_arrive_on_time,llama3-groq-8b-8192-tool-use-preview,llama,50,13,0.26,0.26,0.76
Few_shot,/java/g1801_1900/s1870_minimum_speed_to_arrive_on_time,llama3-8b-8192,llama,50,9,0.18000000000000005,0.18,0.74
Few_shot,/java/g1801_1900/s1870_minimum_speed_to_arrive_on_time,gemma-7b-it,llama,50,14,0.28,0.28,0.7
Few_shot,/java/g1801_1900/s1870_minimum_speed_to_arrive_on_time,llama3-groq-70b-8192-tool-use-preview,llama,50,6,0.12,0.12,0.88
Few_shot,/java/g1801_1900/s1870_minimum_speed_to_arrive_on_time,gemma2-9b-it,llama,50,12,0.24,0.24,0.7
Few_shot,/java/g1801_1900/s1870_minimum_speed_to_arrive_on_time,llama-3.1-70b-versatile,llama,50,19,0.38,0.38,0.58
Few_shot,/java/g1801_1900/s1870_minimum_speed_to_arrive_on_time,llama-guard-3-8b,llama,50,5,0.09999999999999998,0.1,0.4
