prompt_technik,task_id,model_name,model_type,n_runs,successful_evaluations,pass_at_k,completion_score,compilable_score
Zero_shot,/java/g1801_1900/s1870_minimum_speed_to_arrive_on_time,llama-guard-3-8b,llama,50,6,0.12,0.12,0.46
Zero_shot,/java/g1801_1900/s1870_minimum_speed_to_arrive_on_time,llama3-8b-8192,llama,50,10,0.19999999999999996,0.2,0.42
Zero_shot,/java/g1801_1900/s1870_minimum_speed_to_arrive_on_time,gemma-7b-it,llama,50,8,0.16000000000000003,0.16,0.5
Zero_shot,/java/g1801_1900/s1870_minimum_speed_to_arrive_on_time,llama3-70b-8192,llama,50,12,0.24,0.24,0.44
Zero_shot,/java/g1801_1900/s1870_minimum_speed_to_arrive_on_time,gemma2-9b-it,llama,50,6,0.12,0.12,0.48
Zero_shot,/java/g1801_1900/s1870_minimum_speed_to_arrive_on_time,llama-3.1-70b-versatile,llama,50,13,0.26,0.26,0.56
Zero_shot,/java/g1801_1900/s1870_minimum_speed_to_arrive_on_time,llama3-groq-8b-8192-tool-use-preview,llama,50,6,0.12,0.12,0.74
Zero_shot,/java/g1801_1900/s1870_minimum_speed_to_arrive_on_time,llama3-groq-70b-8192-tool-use-preview,llama,50,5,0.09999999999999998,0.1,0.72
Zero_shot,/java/g1801_1900/s1870_minimum_speed_to_arrive_on_time,mixtral-8x7b-32768,llama,50,4,0.07999999999999996,0.08,1.0
Zero_shot,/java/g1801_1900/s1870_minimum_speed_to_arrive_on_time,gpt35,openai,50,25,0.5,0.5,1.0
